Tecnology;Area
badger;database
senseidb;database
datafs;database
oushudb;database
agensgraph;database
kyoto tycoon;database
infinitydb;database
warp 10;database
smallsql;database
scaleout stateserver;database
sparkledb;database
resin cache;database
swc-db;database
sadas engine;database
rizhiyi;database
wakandadb;database
faircom edge;database
swaydb;database
bergdb;database
cachelot.io;database
cortexdb;database
covenantsql;database
daggerdb;database
edgelessdb;database
galaxybase;database
helium;database
indica;database
jaguardb;database
jasdb;database
k-db;database
newts;database
nsdb;database
pieclouddb;database
searchxml;database
spacetime;database
tkrzw;database
transwarp argodb;database
transwarp stellardb;database
yaacomo;database
yanza;database
react;framework
reactnative;framework
asp.net mvc;framework
angular;framework
ruby on rails;framework
jquery;framework
angularjs;framework
vue.js;framework
django;framework
laravel;framework
asp.net;framework
spring;framework
express;framework
flask;framework
meteor;framework
symfony;framework
codeigniter;framework
jsf;framework
terraform;other
ember.js;framework
.net core;framework
google web toolkit;framework
cakephp;framework
polymer;framework
playframework;framework
flex;framework
sails.js;framework
zend;framework
jhipster;framework
tornado;framework
yii;framework
svelte;framework
phoenix;framework
sinatra;framework
grails;framework
aurelia;framework
blade;framework
koa;framework
vert.x;framework
slim;framework
fastapi;framework
phalcon;framework
vapor;framework
loopback;framework
hapi;framework
dropwizard;framework
aiohttp;framework
feathers;framework
openui5;framework
oat++;framework
elm;framework
bottle;framework
wicket;framework
dojo;framework
pyramid;framework
nancy;framework
vaadin;framework
web.py;framework
adonis;framework
fastify;framework
riot.js;framework
struts;framework
mithril;framework
web2py;framework
lucky;framework
revel;framework
ktor;framework
kohana;framework
sanic;framework
yesod;framework
durandal;framework
perfect;framework
compojure;framework
cherrypy;framework
mojolicious;framework
ring;framework
falcon;framework
rocket;framework
actix web;framework
silverstripe sapphire;framework
php fat-free framework;framework
tapestry;framework
martini;framework
iris;framework
marko;framework
fuelphp;framework
ninja;framework
kitura;framework
scalatra;framework
restlet;framework
sailor;framework
sproutcore;framework
hanami;framework
(fab);framework
inferno;framework
lift;framework
lithium;framework
buffalo;framework
cappuccino;framework
zk;framework
flight;framework
servant;framework
wt;framework
grok;framework
dancer2;framework
ratpack;framework
zope;framework
compoundjs;framework
catalyst;framework
kemal;framework
turbogears;framework
gin;framework
flatiron;framework
noir;framework
nitrogen;framework
quart;framework
amber;framework
mojarra;framework
seaside;framework
vanilla;framework
stripes;framework
masonite;framework
camping;framework
cuba;framework
kotlinx.html;framework
happstack;framework
zotonic;framework
hyperstack;framework
merb;framework
cairngorm;framework
rapidoid;framework
puremvc;framework
horde;framework
ramaze;framework
cocoon;framework
spider-gazelle;framework
mate;framework
orbit;framework
tipfy;framework
mason;framework
beego;framework
swiz;framework
prado;framework
aura;framework
picard;framework
erlang web;framework
airflow;data
javascriptmvc;framework
solar;framework
rum;framework
uki;framework
qcodo;framework
cutelyst;framework
qcubed;framework
apache click;framework
xitrum;framework
swiftlet;framework
hexagon;framework
php for applications;framework
snap;framework
restfulx;framework
conjure;framework
eliom;framework
moustache;framework
kumbiaphp;framework
mflow;framework
echo;framework
circumflex;framework
node;framework
sin;framework
portofino;framework
erlyweb;framework
grain;framework
nerve;framework
lemmachine;framework
wee;framework
hemlock;framework
konstrukt;framework
nodemachine;framework
simplex;framework
nitro;framework
halcyon;framework
spincast;framework
vroom;framework
atomik;framework
akelos;framework
mangoo i/o;framework
jifty;framework
squatting;framework
mack;framework
webjure;framework
waves;framework
salvia;framework
liquidlava;framework
cgi::prototype;framework
hydramvc;framework
roma;framework
python;programming language
c;programming language
c++;programming language
java;programming language
c#;programming language
visual basic;programming language
javascript;programming language
sql;programming language
assembly language;programming language
php;programming language
go;programming language
r;programming language
matlab;programming language
delphi/object pascal;programming language
swift;programming language
ruby;programming language
perl;programming language
scratch;programming language
classic visual basic;programming language
rust;programming language
(visual) foxpro;programming language
ada;programming language
fortran;programming language
lisp;programming language
lua;programming language
transact-sql;programming language
objective-c;programming language
f#;programming language
cobol;programming language
groovy;programming language
pl/sql;programming language
kotlin;programming language
julia;programming language
scala;programming language
logo;programming language
dart;programming language
rpg;programming language
haskell;programming language
bash;programming language
cfml;programming language
prolog;programming language
typescript;programming language
scheme;programming language
powershell;programming language
awk;programming language
abap;programming language
emacs lisp;programming language
ml;programming language
linux;other
unix;other
tdd;other
solid;other
